Country Name,Country Code,Series Name,Series Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,49204456700.4516,58539008786.3684,79279057730.829,105136007528.76,123709376567.89,152678020452.829,176171284311.761,200800891870.164,224969488835.181,235024598983.261,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.299,268137224729.722,294084112392.66,330397381998.489,425595310000,461951782000,602860000000,400599250000,437798577639.752,558111997497.263,769305386182.849,850426432991.742,883199625324.675,863723411632.917,599388579985.673,655420645476.906,559372276081.966,507962487700.024,558319920831.979,669316654017.094,891630177251.068,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616200980392.16,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2062831045935.95,1885482534238.33,1839758040765.62,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/16/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
